URL,Title,Body,Hyperlink
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510291806071680109691&lcode=00&page=1&svccode=00,"['가은 체제' 바이젠셀 리부트 전략]내년 상장 매출요건 유예 종료, 병원 '캡티...",올해로 상장 5년차를 맞이하는 바이젠셀의 최우선 해결 과제는 '매출'이다. 상장 당시 1000억원에 육박하는 자금을 조달한 덕분에 법차손 기준 리스크에서는 상대적으로 자유롭지만 내년 유예가 종료되는...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510291806071680109691&lcode=00&page=1&svccode=00"", ""['가은 체제' 바이젠셀 리부트 전략]내년 상장 매출요건 유예 종료, 병원 '캡티..."")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510291816195640102379&lcode=00&page=1&svccode=00,"HK이노엔, '케이캡' 덕 매출 1조 가시권…'글로벌 선점' 총력",연 1조원 매출을 목표하는 HK이노엔의 핵심 키는 '케이캡'의 글로벌 확장이다. 헬스앤뷰티(H&B) 부문의 매출 부진에도 한국과 중국을 포함한 18개국에 케이캡을 판매한 덕에 실적을 유지했다.   ...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510291816195640102379&lcode=00&page=1&svccode=00"", ""HK이노엔, '케이캡' 덕 매출 1조 가시권…'글로벌 선점' 총력"")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300729473020105017&lcode=00&page=1&svccode=00,"[아로마티카 상장 로드맵]""지속가능성이 책임이자 경쟁력"" ESG 지켜온 창업주 뚝...",작은 중소기업 혹은 벤처에 ESG 경영을 들이미는게 합당할까. 생존이 급한 상황에서 사회적 책임을 거론하는 건 쉬운 문제가 아니다. 이 때문에 모든 기업들이 ESG 경영에 대한 요구를 받지만 쉽지 ...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300729473020105017&lcode=00&page=1&svccode=00"", ""[아로마티카 상장 로드맵]""""지속가능성이 책임이자 경쟁력"""" ESG 지켜온 창업주 뚝..."")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300736334340101796&lcode=00&page=1&svccode=00,"[제도권 들어서는 비대면진료]""치열해질 경쟁, 수익화 모델 '각자도생'…데이터가 ...","비대면 진료가 처음 한국 사회에서 논의되기 시작한 지 37년, 코로나19 펜데믹을 계기로 한시적 허용 및 시범사업을 거쳐 법제화에 오르기까지는 5년이 걸렸다. 말도, 탈도 많았던 시간을 지나 제도권...","=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300736334340101796&lcode=00&page=1&svccode=00"", ""[제도권 들어서는 비대면진료]""""치열해질 경쟁, 수익화 모델 '각자도생'…데이터가 ..."")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510310851597680102875&lcode=00&page=1&svccode=00,"[i-point]SAMG엔터, '에스파x티니핑' 컬래버 굿즈 론칭",에스에이엠지엔터테인먼트(SAMG엔터)가 인기 애니메이션 '캐치! 티니핑'과 걸그룹 '에스파(aespa)'가 함께한 컬래버레이션 MD를 출시했다. 이번 협업은 SAMG엔터와 SM엔터테인먼트 소속 아티...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510310851597680102875&lcode=00&page=1&svccode=00"", ""[i-point]SAMG엔터, '에스파x티니핑' 컬래버 굿즈 론칭"")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510281501510480107280&lcode=00&page=1&svccode=00,[김범수 판결문 뜯어보기]SM 주가조작 불인정 핵심 사유 '물량·타이밍',974일. SM엔터테인먼트 주가 조작 의혹으로 기소된 김범수 카카오 미래이니셔티브센터장이 1심 재판을 받는데 걸린 시간이다. 1000일에 가까운 기간 동안 재판정은 증거를 둘러싼 다툼으로 채워졌다....,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510281501510480107280&lcode=00&page=1&svccode=00"", ""[김범수 판결문 뜯어보기]SM 주가조작 불인정 핵심 사유 '물량·타이밍'"")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510310203064520108644&lcode=00&page=1&svccode=00,"[i-point]유니켐 최대주주, 4%대 지분 추가 취득 ""책임 경영""",유니켐 최대주주가 내달 5일로 예정된 신주인수권부사채(BW) 공모 청약을 앞두고 지배력 강화에 나섰다. 회사의 장기적 비전과 성장 가능성에 스스로 베팅함으로써 자신감을 나타낸 것이란 게 회사 측 설...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510310203064520108644&lcode=00&page=1&svccode=00"", ""[i-point]유니켐 최대주주, 4%대 지분 추가 취득 """"책임 경영"""""")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300624141060103040&lcode=00&page=1&svccode=00,"한미사이언스, 오픈이노베이션 조직 'SI 투자' 연내 시동",한미약품그룹이 소규모로나마 연내 오픈이노베이션 투자를 추진한다. 첫 단계인 만큼 수십억원 규모가 될 전망이다. 구심점은 지주사 한미사이언스다. 그간 자체 연구개발(R&D)에 집중할 뿐 직접적 투자에...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300624141060103040&lcode=00&page=1&svccode=00"", ""한미사이언스, 오픈이노베이션 조직 'SI 투자' 연내 시동"")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300630446120102594&lcode=00&page=1&svccode=00,"[알지노믹스 IPO]2027년 흑자 전환 예고, 물질별 기술이전 '골든타임' 조준",알지노믹스는 2027년을 흑자전환 원년으로 보고 있다. RNA 치환효소 플랫폼을 활용한 다양한 적응증 파이프라인에 대한 최적 시점의 기술이전을 수익원으로 삼는다. 실제 글로벌 제약사들과 물밑 협력이...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510300630446120102594&lcode=00&page=1&svccode=00"", ""[알지노믹스 IPO]2027년 흑자 전환 예고, 물질별 기술이전 '골든타임' 조준"")"
https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510301144022480107782&lcode=00&page=1&svccode=00,"[한미 관세협상 타결]16% 수출 의약품 '최혜국 대우', 시밀러도 '무관세' 촉...",이번 한미 관세 협상 타결로 제약바이오 산업이 가장 우려했던 의약품 100% 리스크가 해소됐다. 미국은 전체 의약품 수출액의 16%를 차지하는데다 수출금액도 높아지고 있어 관세에 촉각을 기울일 수밖...,"=HYPERLINK(""https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510301144022480107782&lcode=00&page=1&svccode=00"", ""[한미 관세협상 타결]16% 수출 의약품 '최혜국 대우', 시밀러도 '무관세' 촉..."")"
